entidade;tipo;relacao_com_jardim_das_perdizes;atributos_confirmados_ou_observados;fonte_principal;status_de_validacao;uso_estrategico
Reserva Flamboyant;condominio/produto;produto alto padrão recente;157/189/336/377 m2,torre unica,38 andares,em obras;F19;confirmado pagina;ficha e vistas
Sequoia;produto breve lancamento;novo produto mencionado em dominio antigo;121/148/175 m2,3-4 dormitorios,duas torres;F61;pre-RI/status a confirmar;monitoramento e alerta
Casa100 Arquitetura;escritorio;projeto de reforma de apartamento no JDP;apartamento de 240 m2,2017,vista para parque;F52;confirmado projeto publicado;conteudo de reforma/experiencia
MCAA Arquitetos;escritorio;arquitetura de Bosque Cerejeiras/Pitangueiras;projeto oficial;F17 F20;confirmado rodape;ficha tecnica
Itamar Berezin;arquiteto;Recanto Oliveiras/Reserva Figueiras;projeto arquitetonico;F16 F18;confirmado rodape;autoridade de produto
Candusso Arquitetos;escritorio;Reserva Flamboyant;projeto arquitetonico;F19;confirmado rodape;ficha tecnica
Marcelo Vassalo;paisagista;Bosques Cerejeiras/Pitangueiras;projeto paisagistico;F17 F20;confirmado rodape;ficha tecnica
Benedito Abbud;paisagista;Reserva Figueiras;projeto paisagistico;F18;confirmado rodape;ficha tecnica
Tomie Ohtake;artista;obras no parque;esculturas/arte publica;F29 F30 F08;confirmar inventario atual;conteudo cultural
Frans Krajcberg;artista;obra citada no parque;arte e paisagismo;F04 F19;confirmar obra/localizacao;conteudo cultural
Nubank Parque;arena/eventos;antigo Allianz Parque;shows/futebol e demanda de visitantes;F08 F36;nome comercial dinamico;entorno e ruido/eventos
Shopping Bourbon;shopping;comercio/lazer proximo;varejo,gastronomia,cinema;F08 F36 F50;confirmar distancias por rota;entorno
West Plaza;shopping;comercio/lazer proximo;varejo e serviços;F08 F50;confirmar distancias;entorno
Parque da Agua Branca;parque estadual/municipal;area verde regional;137 mil m2 citado no estudo anterior;F08 F50;confirmar fonte/dado;comparativo de parques
Memorial da America Latina;centro cultural;entorno cultural;exposicoes,biblioteca,auditorio;F50;confirmar agenda;entorno
SESC Pompeia;centro cultural/lazer;entorno;teatro,quadras,piscina,alimentacao,exposicoes;F50 F36;confirmar horarios;entorno
PUC-SP Campus Monte Alegre;educacao;entorno;universidade em Perdizes;F08 F50;confirmar distancia;demanda estudantil
Hospital Albert Einstein Unidade Perdizes;saude;entorno;unidade hospitalar citada em guias;F08;confirmar endereco/servicos;demanda e entorno
Hospital Sao Camilo Pompeia;saude;entorno;hospital citado em guias;F08 F50;confirmar endereco/servicos;demanda e entorno
Real Price;dados imobiliarios;estudo de proximidade da Linha 6;1,36 milhao de transacoes e premio de 10,8% ate 500m;F36;dados secundários/reportados;benchmark analítico
FipeZAP;indice de mercado;benchmark municipal;preço pedido de venda/aluguel por cidade;relatorios anteriores;confirmar periodo em cada uso;contexto macro
Viva Jardim das Perdizes;concorrente/hub hiperlocal;portal edifício por edifício;precos,condominio,IPTU,alertas e avaliação;F37;confirmado pagina;benchmark direto
YK Private;concorrente/imobiliaria;especialista Zona Oeste;inventario,artigo,prova social,CRECI;F01-F03;confirmado pagina;benchmark direto
França Prime;concorrente/alto padrao;estoque local e tour;45 imoveis na captura,alto padrão;F43;fotografia de consulta;benchmark premium
FMI Prime;concorrente/alto padrao;estoque/custos;19 imoveis na captura;F44;fotografia de consulta;benchmark premium
Zimmermann;concorrente/editorial;guia e inventario local;guia de bairro e paginas de imoveis;F50;confirmado pagina;benchmark SEO
Guia Jardim das Perdizes;diretorio local;comercio e serviços;mapa,comercios,noticias,newsletter;F53;site ativo;parcerias/entidades
